Material_Code,Material_Description,Base_Abb,Base_Type,Moulding_Type_Abb,Moulding_Type,Product_Type_Abb,Product_Type,Colour_TF,Dimensions_Vibration_Drops_EU,Project_Phase,Certification,Base_Colour,Additional_Colour,Kosher_Certificate_Abb,Kosher_Certificate,Country_Claim,FP_TYPE3_CLV_S,LEGISLATION_L,DOSAGE_COLD_MILK_CLV_S,DOSAGE_COLD_WATER_CLV_S,DOSAGE_HOT_MILK_CLV_S,DOSAGE_HOT_WATER_CLV_S,Fineness_Type,Colour_L_Value_From,pH_From,pH_To,Normalised_Linear_Mpa_S_From,Normalised_Linear_Viscosity_mPaS_To,Normalised_Casson_mPaS_From,Normalised_Casson_mPaS_To,Normalised_Yield_Pa_From,Normalised_Yield_Pa_To,Fineness_Micrometer_From,Fineness_Micrometer_To,Dimensions_Length_From,Dimensions_Length_To,Dimensions_Width_From,Dimensions_Width_To,Dimensions_Count_Kg_From,Dimensions_Count_Kg_To,Dimensions_Sieve_Fraction_From,Dimensions_Sieve_Fraction_To,Dimensions_Height_From,Dimensions_Height_To,Dimensions_Count_lb_From,Dimensions_Count_lb_To,Brookfield_40C_S27_20_RPM_From,Brookfield_40C_S27_20_RPM_To,Brookfield_50C_S27_20_RPM_From,Brookfield_50C_S27_20_RPM_To,Brookfield_50C_S27_Regression_From,Brookfield_50C_S27_Regression_To,Brookfield_50C_S27_Yield_From,Brookfield_50C_S27_Yield_To,Brookfield_40C_S27_Regression_From,Brookfield_40C_S27_Regression_To,Brookfield_40C_S27_Yield_From,Brookfield_40C_S27_Yield_To,Water_Activity_From,Water_Activity_To,Shelflife,Category,Region,Cust_Dedic,Proj_Phase,Plant_BoM_Owner,Underlying_Liquid,Colour_TF2,Project_Manager,Dimensions_Vibration_Drops_EU2,Project_Number,Dimensions_Production_Tools_Us,Certification2,Project_Phase2,Base_Colour2,Additional_Colour2,Country_Claim2,M022_01_ATFLV_CLV_N,M022_01_ATFLB_CLV_N,M022_02_ATFLV_CLV_N,M022_02_ATFLB_CLV_N,M023_01_ATFLV_CLV_N,M023_01_ATFLB_CLV_N
CHD-INT-Q028-32A,BC INTERN - DARK EDELBITTER CONTAINER,D,Dark,COH,container hoyer,CH,chocolate,,,Final Article,,,,KD-,Kosher Dairy,Swiss Made,NTA,,,,,,1,,,,,,800,1300,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,32,S,A,CH03,,,LPF,,,,,A,,,MIS,,,,,,
CHD-INT-T055-32A,BC INTERN - CHOCOLAT CRÉMANT CONTAINER,D,Dark,COH,container hoyer,CH,chocolate,,,Final Article,,,,KD-,Kosher Dairy,Swiss Made,NTA,,,,,,1,,,,,,1600,2400,12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,32,S,A,CH03,,,LPF,,,,,A,,,MIS,,,,,,
CHD-PRE-CH055-Z23,BC INTERN - CRÉMANT BLOCKS 512KG/BOX,D,Dark,BLM,block medium up to 2.5 kg,CH,chocolate,,,Final Article,,,,KD-,Kosher Dairy,Swiss Made,NTA,,,,,,1,,,,,,1600,2400,12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,32,S,A,CH03,,,LPF,,,,,A,,,MIS,,,,,,
NON-X50CR-E0-W36,96_CB FAVORITES ONCTUEUX CROCANT 5KG/UC,NH,Hazelnuts,NCR,crocant,PR,praline paste,,,Final Article,,,,,,,NTA,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,4,32,S,A,CH03,,,VDE,,,,,A,,,,,,,,,
FWF-514-000,BC CARAMELMASSE R LIQUID,F,Flavoured based on white!,LIQ,Liquid,FW,filling waterbased,,,Final Article,HALA,,,KD-,Kosher Dairy,Swiss Made,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.7,1,2,32,S,A,CH03,,,LPF,,,,HALA,A,,,MIS,,,,,,
JWF-011APR-642,CR APRICO GEL 6KG/EA 72EA/PAL,F,Flavoured based on white!,BUM,bucket/box up to 15 kg,JW,jelly waterbased,,,Final Article,HALA,,,KD-,Kosher Dairy,Swiss Made,NTA,,,,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9,12,9,32,S,A,CH03,,,LPF,,,,HALA,A,,,MIS,,,,,,
JWF-011APR-671,"CR APRICO GEL 12,5KG/EA 52EA/PAL",F,Flavoured based on white!,BUM,bucket/box up to 15 kg,JW,jelly waterbased,,,Final Article,HALA,,,KD-,Kosher Dairy,Swiss Made,NTA,,,,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9,12,9,32,S,A,CH03,,,LPF,,,,HALA,A,,,MIS,,,,,,
JWF-013APTUR-000,CR APRICOTURE LIQUID,F,Flavoured based on white!,LIQ,Liquid,JW,jelly waterbased,,,Final Article,HALA,,,KD-,Kosher Dairy,Swiss Made,NTA,,,,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9,1,9,32,S,A,CH03,,,LPF,,,,HALA,A,,,MIS,,,,,,
JWF-013APTUR-Z51,CR APRICOTURE 13KG/EA 52EA/PAL,F,Flavoured based on white!,BUM,bucket/box up to 15 kg,JW,jelly waterbased,,,Final Article,HALA,,,KD-,Kosher Dairy,Swiss Made,NTA,,,,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9,12,9,32,S,A,CH03,,,LPF,,,,HALA,A,,,MIS,,,,,,
JWF-013APTUR-Z54,"CR APRICOTURE 2,5KG/EA 192EA/PAL",F,Flavoured based on white!,BUS,bucket/box up to 5 kg,JW,jelly waterbased,,,Final Article,HALA,,,KD-,Kosher Dairy,Swiss Made,NTA,,,,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9,12,9,32,S,A,CH03,,,LPF,,,,HALA,A,,,MIS,,,,,,
JWF-020CAPCO-000,CR CAPOMA GEL LIQUID,F,Flavoured based on white!,LIQ,Liquid,JW,jelly waterbased,,,Final Article,HALA,,,KD-,Kosher Dairy,Swiss Made,NTA,,,,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9,1,9,32,S,A,CH03,,,LPF,,,,HALA,A,,,MIS,,,,,,
JWF-020CAPCO-642,CR CAPOMA GEL 6KG/EA 72EA/PAL,F,Flavoured based on white!,BUM,bucket/box up to 15 kg,JW,jelly waterbased,,,Final Article,HALA,,,KD-,Kosher Dairy,Swiss Made,NTA,,,,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9,12,9,32,S,A,CH03,,,LPF,,,,HALA,A,,,MIS,,,,,,
JWF-020CAPCO-671,"CR CAPOMA GEL 12,5KG/EA 52EA/PAL",F,Flavoured based on white!,BUM,bucket/box up to 15 kg,JW,jelly waterbased,,,Final Article,HALA,,,KD-,Kosher Dairy,Swiss Made,NTA,,,,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9,12,9,32,S,A,CH03,,,LPF,,,,HALA,A,,,MIS,,,,,,
JWF-021CAP-000,"CR CAPOMA GEL, FEST LIQUID",F,Flavoured based on white!,LIQ,Liquid,JW,jelly waterbased,,,Final Article,HALA,,,KD-,Kosher Dairy,Swiss Made,NTA,,,,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9,1,9,32,S,A,CH03,,,LPF,,,,HALA,A,,,MIS,,,,,,
JWF-021CAP-642,CR CAPOMA GEL 6KG/EA 72EA/PAL,F,Flavoured based on white!,BUM,bucket/box up to 15 kg,JW,jelly waterbased,,,Final Article,HALA,,,KD-,Kosher Dairy,Swiss Made,NTA,,,,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9,12,9,32,S,A,CH03,,,LPF,,,,HALA,A,,,MIS,,,,,,
JWF-021CAP-671,"CR CAPOMA GEL 12,5KG/EA 52EA/PAL",F,Flavoured based on white!,BUM,bucket/box up to 15 kg,JW,jelly waterbased,,,Final Article,HALA,,,KD-,Kosher Dairy,Swiss Made,NTA,,,,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9,12,9,32,S,A,CH03,,,LPF,,,,HALA,A,,,MIS,,,,,,
JWF-023FRAM-000,"CR FRAMBO GEL, FEST LIQUID",F,Flavoured based on white!,LIQ,Liquid,JW,jelly waterbased,,,Final Article,HALA,,,KD-,Kosher Dairy,Swiss Made,NTA,,,,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9,1,9,32,S,A,CH03,,,LPF,,,,HALA,A,,,MIS,,,,,,
JWF-023FRAM-671,"CR FRAMBO GEL 12,5KG/EA 52EA/PAL",F,Flavoured based on white!,BUM,bucket/box up to 15 kg,JW,jelly waterbased,,,Final Article,HALA,,,KD-,Kosher Dairy,Swiss Made,NTA,,,,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9,12,9,32,S,A,CH03,,,LPF,,,,HALA,A,,,MIS,,,,,,
JWF-107TRAIRTU-000,"CR TRAITEUR GEL, FLÜSSIG LIQUID",F,Flavoured based on white!,LIQ,Liquid,JW,jelly waterbased,,,Final Article,HALA,,,KD-,Kosher Dairy,Swiss Made,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.99,1,9,32,S,A,CH03,,,LPF,,,,HALA,A,,,MIS,,,,,,
JWF-107TRAIRTU-Z62,"CR TRAITEUR GEL BOX 11,5KG/BOX 54BOX/PAL",F,Flavoured based on white!,BIB,Box,JW,jelly waterbased,,,Final Article,HALA,,,KD-,Kosher Dairy,Swiss Made,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.99,12,9,32,S,A,CH03,,,LPF,,,,HALA,A,,,MIS,,,,,,
JWF-123FRAMZC-000,"96_CR FRAMBO GEL, FEST, OHNE FARB LIQUID",F,Flavoured based on white!,LIQ,Liquid,JW,jelly waterbased,,,Final Article,HALA,,,KD-,Kosher Dairy,Swiss Made,NTA,,,,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9,1,9,32,S,A,CH03,,,LPF,,,,HALA,A,,,MIS,,,,,,
JWF-123FRAMZC-671,"96_CR FRAMBO GEL 12,5KG/EA 52EA/PAL",F,Flavoured based on white!,BUM,bucket/box up to 15 kg,JW,jelly waterbased,,,Final Article,HALA,,,KD-,Kosher Dairy,Swiss Made,NTA,,,,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9,12,9,32,S,A,CH03,,,LPF,,,,HALA,A,,,MIS,,,,,,
JWF-124CAPZC-000,"96_CR CAPOMA GEL, FEST, OHNE FARB LIQUID",F,Flavoured based on white!,LIQ,Liquid,JW,jelly waterbased,,,Final Article,HALA,,,KD-,Kosher Dairy,Swiss Made,NTA,,,,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9,1,9,32,S,A,CH03,,,LPF,,,,HALA,A,,,MIS,,,,,,
JWF-187QRED-Z53,CR CARMA QUICK GEL 14KG/EA 52EA/PAL,F,Flavoured based on white!,BUM,bucket/box up to 15 kg,JW,jelly waterbased,,,Final Article,HALA,,,KD-,Kosher Dairy,Swiss Made,NTA,,,,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9,12,9,32,S,A,CH03,,,LPF,,,,HALA,A,,,MIS,,,,,,
JWF-189QYEL-000,"CR CARMA QUICK GEL, HELLGELB LIQUID",F,Flavoured based on white!,LIQ,Liquid,JW,jelly waterbased,,,Final Article,HALA,,,KD-,Kosher Dairy,Swiss Made,NTA,,,,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9,1,9,32,S,A,CH03,,,LPF,,,,HALA,A,,,MIS,,,,,,
