Material_Code,Material_Description,Base_Abb,Base_Type,Moulding_Type_Abb,Moulding_Type,Product_Type_Abb,Product_Type,Colour_TF,Dimensions_Vibration_Drops_EU,Project_Phase,Certification,Base_Colour,Additional_Colour,Kosher_Certificate_Abb,Kosher_Certificate,Country_Claim,FP_TYPE3_CLV_S,LEGISLATION_L,DOSAGE_COLD_MILK_CLV_S,DOSAGE_COLD_WATER_CLV_S,DOSAGE_HOT_MILK_CLV_S,DOSAGE_HOT_WATER_CLV_S,Fineness_Type,Colour_L_Value_From,pH_From,pH_To,Normalised_Linear_Mpa_S_From,Normalised_Linear_Viscosity_mPaS_To,Normalised_Casson_mPaS_From,Normalised_Casson_mPaS_To,Normalised_Yield_Pa_From,Normalised_Yield_Pa_To,Fineness_Micrometer_From,Fineness_Micrometer_To,Dimensions_Length_From,Dimensions_Length_To,Dimensions_Width_From,Dimensions_Width_To,Dimensions_Count_Kg_From,Dimensions_Count_Kg_To,Dimensions_Sieve_Fraction_From,Dimensions_Sieve_Fraction_To,Dimensions_Height_From,Dimensions_Height_To,Dimensions_Count_lb_From,Dimensions_Count_lb_To,Brookfield_40C_S27_20_RPM_From,Brookfield_40C_S27_20_RPM_To,Brookfield_50C_S27_20_RPM_From,Brookfield_50C_S27_20_RPM_To,Brookfield_50C_S27_Regression_From,Brookfield_50C_S27_Regression_To,Brookfield_50C_S27_Yield_From,Brookfield_50C_S27_Yield_To,Brookfield_40C_S27_Regression_From,Brookfield_40C_S27_Regression_To,Brookfield_40C_S27_Yield_From,Brookfield_40C_S27_Yield_To,Water_Activity_From,Water_Activity_To,Shelflife,Category,Region,Cust_Dedic,Proj_Phase,Plant_BoM_Owner,Underlying_Liquid,Colour_TF2,Project_Manager,Dimensions_Vibration_Drops_EU2,Project_Number,Dimensions_Production_Tools_Us,Certification2,Project_Phase2,Base_Colour2,Additional_Colour2,Country_Claim2,M022_01_ATFLV_CLV_N,M022_01_ATFLB_CLV_N,M022_02_ATFLV_CLV_N,M022_02_ATFLB_CLV_N,M023_01_ATFLV_CLV_N,M023_01_ATFLB_CLV_N
ILD-S5VHPSG-EU-03M,VH EASYMELT 10KG/BOX 64BOX/PAL,D,Dark,EAS,Easymelt,IL,compound lauric,,,Final Article,NTA,,,,,,NTA,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,2,31,S,A,ZA20,,,ELE,,2.20E+146,,NTA,A,,,,,,,,,
ILD-S6VHPSG-EU-03M,VH EASYMELT 10KG/BOX 64BOX/PAL,D,Dark,EAS,Easymelt,IL,compound lauric,,,Final Article,NTA,,,,,,NTA,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,2,31,S,A,ZA20,,,ELE,,2.20E+149,,NTA,A,,,,,,,,,
ILM-S5VHPSG-EU-03M,VH EASYMELT 10KG/BOX 64BOX/PAL,M,Milk,EAS,Easymelt,IL,compound lauric,,,Final Article,NTA,,,,,,NTA,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,2,31,S,A,ZA20,,,ELE,,2.20E+146,,NTA,A,,,,,,,,,
ILW-Q5VHPSG-EU-03M,VH EASYMELT 10KG/BOX 64BOX/PAL,W,White,EAS,Easymelt,IL,compound lauric,,,Final Article,NTA,,,,,,NTA,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,31,S,A,ZA20,,,ELE,,2.20E+147,,NTA,A,,,,,,,,,
IMP-F22A325-01-000,BC PB LIQUID LIQUID,P,Peanuts,LIQ,Liquid,IM,compound mixed,,,Factory trial,SPM,T,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,F,US44,,,KAL,,22A325,,SPM,F,T,,,,,,,,
IMP-F24A026-03-000,96_BC SHELF PB LIQUID LIQUID,P,Peanuts,LIQ,Liquid,IM,compound mixed,,,Factory trial,SPM,T,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,F,US44,,,MFR,,24A026,,SPM,F,T,,,,,,,,
IMP-G300006-000,BC PB CHIP COAT LIQUID,P,Peanuts,LIQ,Liquid,IM,compound mixed,,,Final Article,SPM,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,SMN,,19A608,,SPM,A,,,,,,,,,
IMP-G300018-000,BC PB COATING CLEAN LABEL LIQUID,P,Peanuts,LIQ,Liquid,IM,compound mixed,,,Final Article,SPM,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,10,S,A,US44,,,MFR,,20A005,,SPM,A,,,,,,,,,
IMP-G300111-000,BC PB CTR EU LIQUID,P,Peanuts,LIQ,Liquid,IM,compound mixed,,,Final Article,1002,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,MFR,,21A116,,1002,A,,,,,,,,,
IMP-G300180-000,BC PB WAFER LIQUID,P,Peanuts,LIQ,Liquid,IM,compound mixed,,,Final Article,SPM,T,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,KAL,,22A185,,SPM,A,T,,,,,,,,
IMP-G300213-000,BC PB WAFER LIQUID,P,Peanuts,LIQ,Liquid,IM,compound mixed,,,Final Article,SPM,T,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,KAL,,22A185,,SPM,A,T,,,,,,,,
IMP-G300268-000,96_BC SHELF PB LIQUID LIQUID,P,Peanuts,LIQ,Liquid,IM,compound mixed,,,Final Article,SPM,T,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,MFR,,23A380,,SPM,A,T,,,,,,,,
IMP-G300270-000,BC PB CENTER LIQUID,P,Peanuts,LIQ,Liquid,IM,compound mixed,,,Final Article,SPM,T,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,SMN,,23A133,,SPM,A,T,,,,,,,,
IMP-GGH197-000,BC PB COAT W/ CPOWD LIQUID,P,Peanuts,LIQ,Liquid,IM,compound mixed,,,Final Article,SPM;1999,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,MFR,,/,,SPM;1999,A,,,,,,,,,
IMP-GGH198-000,BC PB COAT LIQUID,P,Peanuts,LIQ,Liquid,IM,compound mixed,,,Final Article,SPM,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,MFR,,/,,SPM,A,,,,,,,,,
IMP-GGH296-000,BC CHARDONNAY PB CHIP COAT LIQUID,P,Peanuts,LIQ,Liquid,IM,compound mixed,,,Final Article,SPM,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,MFR,,/,,SPM,A,,,,,,,,,
IMP-GGH300-000,BC STANDARD PB CHIP COAT LIQUID,P,Peanuts,LIQ,Liquid,IM,compound mixed,,,Final Article,SPM,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,SMN,,/,,SPM,A,,,,,,,,,
IMP-GGH339KRAF-000,BC HERSHY KRAFT R1678 PB CHIP LIQUID,P,Peanuts,LIQ,Liquid,IM,compound mixed,,,Final Article,SPM,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,SMN,,/,,SPM,A,,,,,,,,,
IMP-GGH35-000,BC PEANUT BUTTER COATING LIQUID,P,Peanuts,LIQ,Liquid,IM,compound mixed,,,Final Article,SPM,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,SMN,,/,,SPM,A,,,,,,,,,
IMP-GGH35D-000,BC PEANUT BUTTER COATING W/DRITEX LIQUID,P,Peanuts,LIQ,Liquid,IM,compound mixed,,,Final Article,SPM,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,SMN,,/,,SPM,A,,,,,,,,,
IMP-GGH399-000,BC PB CHIP COATING REVISED LIQUID,P,Peanuts,LIQ,Liquid,IM,compound mixed,,,Final Article,NTA,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,SMN,,/,,NTA,A,,,,,,,,,
IMP-GGH413-000,BC DK ROAST PB COAT LIQUID,P,Peanuts,LIQ,Liquid,IM,compound mixed,,,Final Article,SPM,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,10,S,A,US44,,,SMN,,20A006,,SPM,A,,,,,,,,,
IMP-GGH415-000,BC DK ROAST PB CHIP LIQUID,P,Peanuts,LIQ,Liquid,IM,compound mixed,,,Final Article,SPM,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,SMN,,/,,SPM,A,,,,,,,,,
IMP-L22A325-01-000,BC PB LIQUID LIQUID,P,Peanuts,LIQ,Liquid,IM,compound mixed,,,Lab sample,SPM,T,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,L,US44,,,KAL,,22A325,,SPM,L,T,,,,,,,,
IMP-L22A325-02-000,BC PB LIQUID LIQUID,P,Peanuts,LIQ,Liquid,IM,compound mixed,,,Lab sample,SPM,T,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,L,US44,,,KAL,,22A325,,SPM,L,T,,,,,,,,
IMP-L23A297-03-000,BC PB CHIP COATING LIQUID,P,Peanuts,LIQ,Liquid,IM,compound mixed,,,Lab sample,SPM,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,10,S,L,US44,,,SMN,,23A297,,SPM,L,,,,,,,,,
IMP-L23A297-04-000,BC PB CHIP COATING LIQUID,P,Peanuts,LIQ,Liquid,IM,compound mixed,,,Lab sample,SPM,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,10,S,L,US44,,,KAL,,23A297,,SPM,L,,,,,,,,,
IMP-L23A297-06-000,BC PB LIQUID LIQUID,P,Peanuts,LIQ,Liquid,IM,compound mixed,,,Lab sample,SPM,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,L,US44,,,KAL,,23A297,,SPM,L,,,,,,,,,
IMP-L23A297-07-000,BC PB LIQUID LIQUID,P,Peanuts,LIQ,Liquid,IM,compound mixed,,,Lab sample,SPM,T,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,L,US44,,,KAL,,23A297,,SPM,L,T,,,,,,,,
IMP-L23A297-08-000,BC PB LIQUID LIQUID,P,Peanuts,LIQ,Liquid,IM,compound mixed,,,Lab sample,SPM,T,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,L,US44,,,KAL,,23A297,,SPM,L,T,,,,,,,,
IMP-L23A297-09-000,BC PB LIQUID LIQUID,P,Peanuts,LIQ,Liquid,IM,compound mixed,,,Lab sample,SPM,T,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,L,US44,,,KAL,,23A297,,SPM,L,T,,,,,,,,
IMP-L23A297-10-000,BC PB LIQUID LIQUID,P,Peanuts,LIQ,Liquid,IM,compound mixed,,,Lab sample,SPM,T,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,L,US44,,,KAL,,23A297,,SPM,L,T,,,,,,,,
IMP-L23A380-01-000,96_BC SHELF PB PAN LIQUID LIQUID,P,Peanuts,LIQ,Liquid,IM,compound mixed,,,Lab sample,SPM,T,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,L,US44,,,MFR,,23A380,,SPM,L,T,,,,,,,,
IMP-L24A025-01-000,BC PB CHIP LIQUID LIQUID,P,Peanuts,LIQ,Liquid,IM,compound mixed,,,Lab sample,SPM,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,L,US44,,,KAL,,24A025,,SPM,L,,,,,,,,,
IMP-L24A025-02-000,BC PB CHIP LIQUID LIQUID,P,Peanuts,LIQ,Liquid,IM,compound mixed,,,Lab sample,SPM,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,L,US44,,,KAL,,24A025,,SPM,L,,,,,,,,,
IMD-G300069-000,BC LIQUID,D,Dark,LIQ,Liquid,IM,compound mixed,,,Final Article,1999;SPM,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,SMN,,21A116,,1999;SPM,A,,,,,,,,,
IMD-G300207-000,BC SHELF DARK LIQUID FOR PANNING LIQUID,D,Dark,LIQ,Liquid,IM,compound mixed,,,Final Article,1999;SPM,BR,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,KAL,,23A105,,1999;SPM,A,BR,,,,,,,,
IMD-G300275-000,BC NON-HYDRO DARK LIQUID,D,Dark,LIQ,Liquid,IM,compound mixed,,,Final Article,1999;SPM,BR,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,KAL,,23A332,,1999;SPM,A,BR,,,,,,,,
IMD-GGH227-000,BC DK COMPOUND COAT LIQUID,D,Dark,LIQ,Liquid,IM,compound mixed,,,Final Article,1999;SPM,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,SMN,,/,,1999;SPM,A,,,,,,,,,
IMD-GGH64B-000,BC BLACKCOTE LIQUID,D,Dark,LIQ,Liquid,IM,compound mixed,,,Final Article,1999;SPM,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,SMN,,/,,SPM;1999,A,,,,,,,,,
IMD-L22A067-01-000,96_BC DARK COATING LIQUID,D,Dark,LIQ,Liquid,IM,compound mixed,,,Lab sample,1999;SPM,BR,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,L,US44,,,KAL,,22A067,,SPM;1999,L,BR,,,,,,,,
IMD-L22A067-02-000,96_BC DARK COATING LIQUID,D,Dark,LIQ,Liquid,IM,compound mixed,,,Lab sample,1999;SPM,BR,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,L,US44,,,KAL,,22A067,,SPM;1999,L,BR,,,,,,,,
IMD-L22A067-03-000,96_BC DARK COATING LIQUID,D,Dark,LIQ,Liquid,IM,compound mixed,,,Lab sample,SPM;1999,BR,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,L,US44,,,KAL,,22A067,,SPM;1999,L,BR,,,,,,,,
IMD-L22A067-04-000,96_BC DARK COATING LIQUID,D,Dark,LIQ,Liquid,IM,compound mixed,,,Lab sample,1999;SPM,BR,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,L,US44,,,KAL,,22A067,,1999;SPM,L,BR,,,,,,,,
IMD-L22A321-02-000,96_BC LIQUID,D,Dark,LIQ,Liquid,IM,compound mixed,,,Lab sample,SPM;1999,BR,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,10,S,L,US44,,,KAL,,22A321,,SPM;1999,L,BR,,,,,,,,
IMK-G300070-000,BC LIQUID,K,Coloured,LIQ,Liquid,IM,compound mixed,,,Final Article,SPM;1999,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,SMN,,21A116,,1999;SPM,A,,,,,,,,,
IMK-G300165-000,BC TAN LIQUID,K,Coloured,LIQ,Liquid,IM,compound mixed,,,Final Article,SPM;1999,T,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,KAL,,22A055,,1999;SPM,A,T,,,,,,,,
IMK-GGH362-000,BC SMORE BAKING CHUNK COATING LIQUID,K,Coloured,LIQ,Liquid,IM,compound mixed,,,Final Article,1999;SPM,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,SMN,,21A355,,1999;SPM,A,,,,,,,,,
IMM-GGH59I-000,BC LIGHT BOTTOM COTE LIQUID,M,Milk,LIQ,Liquid,IM,compound mixed,,,Final Article,1999;SPM,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,SMN,,/,,1999;SPM,A,,,,,,,,,
IMP-F22A127-01-000,96_BC PEANUT SLURRY LIQUID,P,Peanuts,LIQ,Liquid,IM,compound mixed,,,Factory trial,SPM,T,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,F,US44,,,KAL,,22A127,,SPM,F,T,,,,,,,,
IMW-G300124-000,BC SHELF NON HYDRO WHITE LIQ LIQUID,W,White,LIQ,Liquid,IM,compound mixed,,,Final Article,SPM,W,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,23,27,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,SMN,,21A382,,SPM,A,W,,,,,,,,
IMW-G300182-000,BC WHITE COATING NGM LIQUID,W,White,LIQ,Liquid,IM,compound mixed,,,Final Article,SPM,W,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,SMN,,22A338,,SPM,A,W,,,,,,,,
IMW-G300195-000,BC WHITE LIQUID FOR PANNED SUGAR LIQUID,W,White,LIQ,Liquid,IM,compound mixed,,,Final Article,SPM,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,SMN,,21A355,,SPM,A,,,,,,,,,
IMW-G300206-000,BC SHELF WHITE LIQUID FOR PANNING LIQUID,W,White,LIQ,Liquid,IM,compound mixed,,,Final Article,SPM,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,SMN,,23A105,,SPM,A,,,,,,,,,
IMW-GGH117-000,BC BAKE WHT COAT LIQUID,W,White,LIQ,Liquid,IM,compound mixed,,,Final Article,SPM,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,SMN,,/,,SPM,A,,,,,,,,,
IMF-G300037-000,BC BAKE WHT MARSH LIQ LIQUID,F,Flavoured based on white!,LIQ,Liquid,IM,compound mixed,,,Final Article,SPM,W,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,SMN,,19A584,,SPM,A,W,,,,,,,,
IMF-GGH414-000,BC BAKE ESPR COAT LIQUID,F,Flavoured based on white!,LIQ,Liquid,IM,compound mixed,,,Final Article,1999;SPM,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,SMN,,/,,1999;SPM,A,,,,,,,,,
IMP-GGH229-000,BC PB CTR LIQUID,P,Peanuts,LIQ,Liquid,IM,compound mixed,,,Final Article,NTA,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,SMN,,/,,NTA,A,,,,,,,,,
IMP-GGH425-000,BC PB COATING LIQUID,P,Peanuts,LIQ,Liquid,IM,compound mixed,,,Final Article,SPM,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,MFR,,/,,SPM,A,,,,,,,,,
IMP-L24A072-02-000,BC EU PB CENTER LIQUID LIQUID,P,Peanuts,LIQ,Liquid,IM,compound mixed,,,Lab sample,1002,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,L,US44,,,KAL,,24A072,,1002,L,,,,,,,,,
IMP-L24A072-03-000,BC EU PB CENTER LIQUID LIQUID,P,Peanuts,LIQ,Liquid,IM,compound mixed,,,Lab sample,1002,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,L,US44,,,KAL,,24A072,,1002,L,,,,,,,,,
ILD-GGH238-000,BC FDG COAT LIQUID,D,Dark,LIQ,Liquid,IL,compound lauric,,,Final Article,1999;SPM,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,SMN,,/,,SPM;1999,A,,,,,,,,,
ILW-G300123-000,BC WHITE COATING RBSTFREE NGM LIQUID,W,White,LIQ,Liquid,IL,compound lauric,,,Final Article,SPM,W,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,MFR,,21A423,,SPM,A,W,,,,,,,,
ILW-G300247-000,BC LIQUID,W,White,LIQ,Liquid,IL,compound lauric,,,Final Article,SPM,OW,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,SMN,,23A133,,SPM,A,OW,,,,,,,,
ILW-GGH282-000,BC WHT COAT LIQUID,W,White,LIQ,Liquid,IL,compound lauric,,,Final Article,SPM,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,SMN,,/,,SPM,A,,,,,,,,,
ILW-GGH307-000,BC WHT COAT LIQUID,W,White,LIQ,Liquid,IL,compound lauric,,,Final Article,SPM,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,SMN,,/,,SPM,A,,,,,,,,,
ILW-GGH330-000,BC WHT COAT LIQUID,W,White,LIQ,Liquid,IL,compound lauric,,,Final Article,SPM,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,SMN,,/,,SPM,A,,,,,,,,,
ILW-GGH330OL-000,BC WHT COAT LIQUID,W,White,LIQ,Liquid,IL,compound lauric,,,Final Article,SPM,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,MFR,,/,,SPM,A,,,,,,,,,
ILW-GGH349-000,BC WHT COAT LIQUID,W,White,LIQ,Liquid,IL,compound lauric,,,Final Article,SPM,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,MFR,,/,,SPM,A,,,,,,,,,
ILW-GGH381-000,BC VANILLA GREEK YOGURT COATING LIQUID,W,White,LIQ,Liquid,IL,compound lauric,,,Final Article,SPM,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,SMN,,/,,SPM,A,,,,,,,,,
ILW-G300200-000,BC WHITE LIQUID W/ ORGANIC LIQUID,W,White,LIQ,Liquid,IL,compound lauric,,,Final Article,SPM;ORIN,W,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,KAL,,23A048,,ORIN;SPM,A,W,,,,,,,,
INP-L23A186-01-000,96_BC PB COATING LIQUID,P,Peanuts,LIQ,Liquid,IN,compound non-lauric,,,Lab sample,SPM,T,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,L,US44,,,KAL,,23A186,,SPM,L,T,,,,,,,,
FWF-G300288-000,BC SHELF ORGANIC CARAMEL VARIGATE LIQUID,F,Flavoured based on white!,LIQ,Liquid,FW,filling waterbased,,,Final Article,ORNA,T,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,10,S,A,US44,,,KAL,,24A091,,ORNA,A,T,,,,,,,,
FWF-GEK370-000,BC BUCKO CARM NO FLAVORS LIQUID,F,Flavoured based on white!,LIQ,Liquid,FW,filling waterbased,,,Final Article,SPM,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,10,S,A,US44,,,KAL,,/,,SPM,A,,,,,,,,,
